Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4JehYebiI9JE8sR8MisGVb,"6vWDO969PvNqNYHIOW5v0m","Halo","I AM...SASHA FIERCE","Beyoncé",2008-11-17,261640,74,spotify:user:itsbig_al,2020-11-06T09:30:42Z,"pop,r&b",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,4
1z9kQ14XBSN0r2v6fx4IdG,"5pKCCKE2ajJHZ9KAiaK11H","Diamonds","Unapologetic (Edited Version)","Rihanna",2012-01-01,225146,73,spotify:user:itsbig_al,2020-11-06T09:30:50Z,"barbadian pop,pop,urban contemporary",0.562,0.709,11,-4.92,0,0.0424,0.00124,0,0.109,0.401,91.958,4
6IwKcFdiRQZOWeYNhUiWIv,"3DiDSECUqqY1AuBP8qtaIa","No One","As I Am (Expanded Edition)","Alicia Keys",2007-11-09,253813,73,spotify:user:itsbig_al,2020-11-06T09:31:10Z,"neo soul,pop,r&b",0.644,0.549,1,-5.415,0,0.0285,0.0209,0.00000885,0.134,0.167,90.04,4
3XVBdLihbNbxUwZosxcGuJ,"3DiDSECUqqY1AuBP8qtaIa","If I Ain't Got You","The Diary Of Alicia Keys","Alicia Keys",2003-12-02,228706,81,spotify:user:itsbig_al,2020-11-06T09:41:57Z,"neo soul,pop,r&b",0.609,0.444,7,-9.129,1,0.106,0.603,0.00000686,0.104,0.166,118.402,3
2iXBZ32Fz5VDCLeE0JIdX5,"5lKZWd6HiSCLfnDGrq9RAm","Better in Time","Spirit","Leona Lewis",2007,234173,66,spotify:user:itsbig_al,2020-11-06T09:42:16Z,"british soul,dance pop,pop,talent show",0.584,0.7,6,-4.251,1,0.0505,0.512,0.0000244,0.13,0.545,163.95,4
3VdLjuOdBfFHQ2TTCY7zKw,"3DiDSECUqqY1AuBP8qtaIa","If I Ain't Got You - Piano & Vocal Version","If I Ain't Got You EP","Alicia Keys",2004-02-17,231653,44,spotify:user:itsbig_al,2020-11-06T09:42:21Z,"neo soul,pop,r&b",0.535,0.274,7,-9.405,1,0.043,0.957,0.0000182,0.155,0.464,118.363,3
6brl7bwOHmGFkNw3MBqssT,"21E3waRsmPlU7jZsS13rcj","So Sick","In My Own Words","Ne-Yo",2006-01-01,207186,79,spotify:user:itsbig_al,2020-11-06T09:42:26Z,"dance pop,pop,r&b,urban contemporary",0.452,0.574,6,-8.336,1,0.311,0.245,0,0.189,0.578,92.795,4
3LmvfNUQtglbTrydsdIqFU,"4iHNK0tOyZPYnBU7nGAgpQ","We Belong Together","The Emancipation of Mimi","Mariah Carey",2005-04-12,201400,71,spotify:user:itsbig_al,2020-11-06T09:42:31Z,"dance pop,pop,urban contemporary",0.833,0.467,0,-7.89,1,0.0619,0.0339,0,0.09,0.767,139.971,4
6Hn9Uc1mMNfqChXU3txNke,"21E3waRsmPlU7jZsS13rcj","Mad","Year Of The Gentleman (Bonus Track Edition)","Ne-Yo",2008-01-01,254533,71,spotify:user:itsbig_al,2020-11-06T09:43:08Z,"dance pop,pop,r&b,urban contemporary",0.727,0.65,0,-5.357,1,0.0337,0.662,0,0.111,0.668,129.993,4
669Zz4glMcFwFl1BRltkXP,"5pKCCKE2ajJHZ9KAiaK11H,21E3waRsmPlU7jZsS13rcj","Hate That I Love You","Good Girl Gone Bad","Rihanna,Ne-Yo",2007-01-01,219000,59,spotify:user:itsbig_al,2020-11-06T09:43:15Z,"barbadian pop,pop,urban contemporary,dance pop,r&b",0.637,0.73,5,-5.38,0,0.0877,0.322,0,0.0982,0.731,93.867,4
6CFPFnS9EcLs2I0nWqtWci,"21E3waRsmPlU7jZsS13rcj","Because Of You","Because Of You","Ne-Yo",2007-01-01,266840,76,spotify:user:itsbig_al,2020-11-06T09:43:22Z,"dance pop,pop,r&b,urban contemporary",0.81,0.538,0,-5.783,0,0.0357,0.53,0,0.0951,0.832,109.97,4
7J41dYQolQJEtj3UmKLu5r,"23zg3TcAtWQy7J6upgbUnj","U Got It Bad","8701","USHER",2001-08-07,247840,73,spotify:user:itsbig_al,2020-11-06T09:43:25Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.816,0.5,1,-4.551,1,0.03,0.0227,0.00000153,0.0733,0.649,124.037,4
4IFYR5smTnHYCLP82AiDrJ,"0le01dl1WllSHhjEXRl4in","Officially Missing You","More","Tamia",2004,242466,51,spotify:user:itsbig_al,2020-11-06T09:43:28Z,"canadian pop,contemporary r&b,hip pop,r&b,urban contemporary",0.476,0.407,4,-9.239,0,0.0368,0.247,0,0.144,0.226,178.258,4
442j8VxaB60dWf9cBFuX5w,"66CXWjxzNUsdJxJ2JdwvnR,2Rf4X6m0oayCJhaJ5K63GQ","Almost Is Never Enough","Yours Truly","Ariana Grande,Nathan Sykes",2013-01-01,327773,67,spotify:user:itsbig_al,2020-11-06T09:43:32Z,"pop,post-teen pop,talent show,teen pop",0.324,0.327,2,-7.494,1,0.0409,0.825,0,0.101,0.334,81.328,4
3JHDtmFdX9kdx9wz0md98U,"3DiDSECUqqY1AuBP8qtaIa","Like You'll Never See Me Again","As I Am (Expanded Edition)","Alicia Keys",2007-11-09,315360,55,spotify:user:itsbig_al,2020-11-06T09:43:37Z,"neo soul,pop,r&b",0.562,0.657,7,-8.074,1,0.0315,0.173,0.000272,0.102,0.266,127.808,4
174rZBKJAqD10VBnOjlQQ3,"20s0P9QLxGqKuCsGwFsp7w","How Do I Breathe","Go","Mario",2007-12-11,216893,70,spotify:user:itsbig_al,2020-11-06T09:43:40Z,"dance pop,r&b,southern hip hop,urban contemporary",0.684,0.455,5,-8.216,1,0.0307,0.215,0.00000108,0.263,0.487,97.956,4
7z3N2W7Xz1t2G2sAO8wFVH,"23zg3TcAtWQy7J6upgbUnj","Burn","Confessions (Expanded Edition)","USHER",2004-03-23,231933,73,spotify:user:itsbig_al,2020-11-06T09:43:44Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.796,0.477,1,-7.161,1,0.108,0.314,0,0.12,0.685,119.928,4
5tmambyCorzpRg7ViOO3SN,"2AQjGvtT0pFYfxR3neFcvz,7bXgB6jMjp9ATFy66eO08Z","No Air (feat. Chris Brown) - Acoustic Version","No Air Duet With Chris Brown Acoustic Version","Jordin Sparks,Chris Brown",2008-05-20,253693,42,spotify:user:itsbig_al,2020-11-06T09:43:52Z,"dance pop,pop,post-teen pop,urban contemporary,r&b,rap",0.475,0.501,11,-5.125,1,0.0309,0.715,0,0.0666,0.371,159.972,4
0KyNLfXrZiHsR4IlkimAIV,"1Y8cdNmUJH7yBTd9yOvr5i","Brown Eyes","Survivor","Destiny's Child",2001-05-01,286106,41,spotify:user:itsbig_al,2020-11-06T09:44:00Z,"dance pop,girl group,pop,r&b,urban contemporary",0.575,0.573,5,-7.46,1,0.0571,0.262,0,0.417,0.313,116.026,4
1dObJGQUgJ7tWxJ0byON6W,"1vfezMIyCr4XUdYRaKIKi3","I Remember","Just Like You","Keyshia Cole",2007-01-01,260092,55,spotify:user:itsbig_al,2020-11-06T09:44:02Z,"hip pop,r&b,urban contemporary",0.421,0.731,5,-4.425,0,0.0478,0.203,0,0.102,0.308,129.274,4
10aWGOqSDBqvNzJ9NeKDbK,"21E3waRsmPlU7jZsS13rcj","Sexy Love","In My Own Words","Ne-Yo",2006-01-01,220853,72,spotify:user:itsbig_al,2020-11-06T09:44:04Z,"dance pop,pop,r&b,urban contemporary",0.693,0.513,8,-6.447,1,0.0415,0.296,0.00013,0.0604,0.49,94.021,4
1m2xMsxbtxv21Brome189p,"3zTOe1BtyTkwNvYZOxXktX","I Wanna Know","My Name Is Joe","Joe",2000-04-18,296693,67,spotify:user:itsbig_al,2020-11-06T09:44:06Z,"contemporary r&b,r&b,urban contemporary",0.725,0.487,8,-5.959,0,0.0368,0.26,0.0000109,0.431,0.599,136.086,4
5FXOEdfNW7nYQrBWtW49Cl,"21E3waRsmPlU7jZsS13rcj","When You're Mad","In My Own Words","Ne-Yo",2006-01-01,222000,57,spotify:user:itsbig_al,2020-11-06T09:44:08Z,"dance pop,pop,r&b,urban contemporary",0.661,0.548,6,-7.127,1,0.215,0.364,0,0.108,0.435,86.95,4
5k3VjTwIsOjQ2woGz3Yx71,"2iojnBLj0qIMiKPvVhLnsH","Can't Help but Wait","Trey Day","Trey Songz",2007-10-01,206413,65,spotify:user:itsbig_al,2020-11-06T09:44:18Z,"dance pop,r&b,southern hip hop,trap,urban contemporary",0.699,0.699,8,-5.564,0,0.0737,0.358,0,0.0912,0.611,94.977,4
2YegxR5As7BeQuVp2U6pek,"1XkoF8ryArs86LZvFOkbyr","Be Without You - Kendu Mix","The Breakthrough","Mary J. Blige",2005-01-01,246333,1,spotify:user:itsbig_al,2020-11-06T09:44:34Z,"dance pop,hip pop,neo soul,r&b,urban contemporary",0.724,0.705,2,-5.859,0,0.112,0.067,0,0.262,0.662,146.589,4
3QE7ObGjkt1kYnhLvZPRUy,"21E3waRsmPlU7jZsS13rcj","Go On Girl","Because Of You","Ne-Yo",2007-01-01,261426,64,spotify:user:itsbig_al,2020-11-06T09:44:36Z,"dance pop,pop,r&b,urban contemporary",0.637,0.522,4,-6.959,1,0.109,0.156,0,0.0945,0.562,83.895,4
34ceTg8ChN5HjrqiIYCn9Q,"21E3waRsmPlU7jZsS13rcj","Miss Independent","Year Of The Gentleman (Bonus Track Edition)","Ne-Yo",2008-01-01,232000,78,spotify:user:itsbig_al,2020-11-06T09:44:38Z,"dance pop,pop,r&b,urban contemporary",0.673,0.681,1,-5.693,1,0.118,0.52,0,0.235,0.707,171.864,4
2bppvcuQhuMcJZHtM9So7r,"23zg3TcAtWQy7J6upgbUnj,6vWDO969PvNqNYHIOW5v0m,55Aa2cqylxrFIXC767Z865","Love in This Club, Pt. II (feat. Beyoncé & Lil' Wayne)","Here I Stand","USHER,Beyoncé,Lil Wayne",2008-05-27,309040,64,spotify:user:itsbig_al,2020-11-06T09:44:40Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary,hip hop,new orleans rap,pop rap,trap",0.623,0.487,1,-7.954,1,0.113,0.0322,0,0.146,0.507,138.893,4
2hQU8LNZFUcXLUwqeABX3K,"4iHNK0tOyZPYnBU7nGAgpQ","Don't Forget About Us - Radio Edit","The Emancipation of Mimi","Mariah Carey",2005-01-01,233866,0,spotify:user:itsbig_al,2020-11-06T09:44:41Z,"dance pop,pop,urban contemporary",0.7,0.529,10,-6.816,0,0.0395,0.0422,0,0.101,0.386,143.555,4
0JKjqJLo145b1mqA6MnhIl,"21E3waRsmPlU7jZsS13rcj","Do You","Because Of You","Ne-Yo",2007-01-01,228266,58,spotify:user:itsbig_al,2020-11-06T09:44:43Z,"dance pop,pop,r&b,urban contemporary",0.555,0.614,5,-5.857,0,0.0731,0.313,0,0.321,0.592,121.284,5
5PH2eU6P5LdnwDezBu8334,"3zTOe1BtyTkwNvYZOxXktX","If I Was Your Man","Ain't Nothin' Like Me","Joe",2007-04-24,232533,53,spotify:user:itsbig_al,2020-11-06T09:44:45Z,"contemporary r&b,r&b,urban contemporary",0.71,0.477,1,-7.44,1,0.0397,0.167,0.00000124,0.128,0.143,94.932,4
6TlRNJaezOdzdECnQeRuMM,"7G6hXrjGpi6I7waNl4wxAk","Bed","Back Of My Lac'","J. Holiday",2007-01-01,275106,64,spotify:user:itsbig_al,2020-11-06T09:44:47Z,"contemporary r&b,hip pop,r&b,southern hip hop,urban contemporary",0.676,0.606,5,-7.268,0,0.051,0.17,0,0.058,0.722,127.927,4
3nJjIYchBNkYm7B8XfJf5N,"7G6hXrjGpi6I7waNl4wxAk","Suffocate - Superclean","Back Of My Lac'","J. Holiday",2007-01-01,220053,56,spotify:user:itsbig_al,2020-11-06T09:44:50Z,"contemporary r&b,hip pop,r&b,southern hip hop,urban contemporary",0.458,0.445,9,-8.391,0,0.361,0.64,0,0.118,0.447,82.82,5
3TfBp81XBxnU5RLDKgD8nR,"0AunegKKH2ys98aLxq8G1A","Wanna Be Close","Private Room","Avant",2003-01-01,228120,49,spotify:user:itsbig_al,2020-11-06T09:44:53Z,"contemporary r&b,r&b,urban contemporary",0.666,0.525,5,-4.71,1,0.0391,0.233,0,0.278,0.681,138.125,4
2RzJwBCXsS1VnjDm2jKKAa,"2mxe0TnaNL039ysAj51xPQ","I Believe I Can Fly","R.","R. Kelly",1998-11-08,320666,60,spotify:user:itsbig_al,2020-11-06T09:48:04Z,"",0.55,0.444,7,-7.588,1,0.0292,0.241,0,0.187,0.0438,120.179,4
2b29qJRy4asbQNFjPO96XC,"6nzxy2wXs6tLgzEtqOkEi2","For You I Will","The Boy Is Mine","Monica",1998-07-13,294866,57,spotify:user:itsbig_al,2020-11-06T09:49:02Z,"contemporary r&b,hip pop,r&b,urban contemporary",0.652,0.473,0,-7.981,0,0.0313,0.243,0,0.134,0.368,123.208,4
6jw6FmzPpfZmp0wHR65lGJ,"6nzxy2wXs6tLgzEtqOkEi2,7urq0VfqxEYEEiZUkebXT4","Right Here Waiting (feat. 112)","The Boy Is Mine","Monica,112",1998-07-13,270200,41,spotify:user:itsbig_al,2020-11-06T09:49:18Z,"contemporary r&b,hip pop,r&b,urban contemporary,atl hip hop,boy band",0.529,0.481,2,-8.027,1,0.028,0.00807,0.0000352,0.162,0.14,82.019,4
3hYctzBStAGPRvahcZmJJF,"3zTOe1BtyTkwNvYZOxXktX","No One Else Comes Close","All That I Am","Joe",1997-09-23,231066,58,spotify:user:itsbig_al,2020-11-06T09:50:16Z,"contemporary r&b,r&b,urban contemporary",0.608,0.531,0,-9.549,1,0.028,0.534,0.00000717,0.183,0.328,110.092,4
3lMgczyYCjVDpJX8Wl2ilu,"20s0P9QLxGqKuCsGwFsp7w","Crying Out For Me","Go","Mario",2007-12-11,288386,54,spotify:user:itsbig_al,2020-11-06T09:50:31Z,"dance pop,r&b,southern hip hop,urban contemporary",0.509,0.72,1,-6.935,1,0.0682,0.196,0,0.284,0.505,130.063,4
3OUApyz3jDB3syGUNGqB1d,"08p7B5OtcUuVblvkQIlBhJ","How You Gonna Act Like That","I Wanna Go There","Tyrese",2002-12-01,294693,63,spotify:user:itsbig_al,2020-11-06T09:50:32Z,"contemporary r&b,hip pop,r&b,urban contemporary",0.733,0.521,3,-3.657,0,0.0457,0.107,0,0.0692,0.525,112.913,4
3w8Mw9GHYepoTWOSdiyosj,"6x9QLdzo6eBZxJ1bHsDkjg","Incomplete","Unleash The Dragon","Sisqo",1999-11-30,274226,61,spotify:user:itsbig_al,2020-11-06T09:50:33Z,"contemporary r&b,dirty south rap,hip pop,r&b,urban contemporary",0.746,0.443,1,-7.693,0,0.0771,0.283,0,0.14,0.27,119.31,4
5cU50IAoAFF7qFWOtdbEjr,"2iojnBLj0qIMiKPvVhLnsH","I Need a Girl","Ready (Deluxe)","Trey Songz",2009-08-31,214480,53,spotify:user:itsbig_al,2020-11-06T09:50:36Z,"dance pop,r&b,southern hip hop,trap,urban contemporary",0.602,0.785,7,-6.129,1,0.0578,0.245,0,0.19,0.565,84.038,4
1AM1o0mKbgAK5oMpY8B3Z7,"6nzxy2wXs6tLgzEtqOkEi2","Angel of Mine","The Boy Is Mine","Monica",1998-07-13,250173,64,spotify:user:itsbig_al,2020-11-06T09:50:38Z,"contemporary r&b,hip pop,r&b,urban contemporary",0.592,0.562,10,-6.869,0,0.0239,0.00373,0.0000323,0.223,0.208,90.16,4
5BsJy4UDoQXqdgcyWqWQw2,"3gMaNLQm7D9MornNILzdSl","I Call It Love","Coming Home","Lionel Richie",2006-01-01,198426,54,spotify:user:itsbig_al,2020-11-06T09:50:40Z,"disco,soft rock",0.681,0.753,8,-4.082,1,0.107,0.459,0,0.114,0.578,91.993,4
49Z9QZkdchKwlM9SVfDwGy,"21E3waRsmPlU7jZsS13rcj","Part Of The List","Year Of The Gentleman (Bonus Track Edition)","Ne-Yo",2008-01-01,249693,48,spotify:user:itsbig_al,2020-11-06T09:50:42Z,"dance pop,pop,r&b,urban contemporary",0.521,0.658,11,-4.638,1,0.0508,0.188,0,0.148,0.19,177.797,3
