Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
68vgtRHr7iZHpzGpon6Jlo,"23zg3TcAtWQy7J6upgbUnj,3DiDSECUqqY1AuBP8qtaIa","My Boo","Confessions (Expanded Edition)","USHER,Alicia Keys",2004-03-23,223440,80,spotify:user:,2024-02-13T21:04:18Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary,neo soul",0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,4
5EQzuYfTZt7B2LqlvTF49l,"4S9EykWXhStSc15wEx8QFK","It's All Coming Back to Me Now","Falling into You","Céline Dion",1996-03-11,456866,72,spotify:user:,2024-02-13T21:04:18Z,"canadian pop",0.384,0.438,0,-9.149,1,0.0362,0.753,0,0.101,0.287,87.903,4
71EHOyEOhNx1SzTebRRyng,"2NmK5FyrQ18HOPXq1UBzqa","Weak","It's About Time","SWV",1992-10-27,291906,68,spotify:user:,2024-02-13T21:04:18Z,"contemporary r&b,girl group,hip pop,new jack swing,r&b,urban contemporary",0.693,0.533,2,-10.954,0,0.0402,0.107,0,0.0695,0.568,127.661,4
3ibKnFDaa3GhpPGlOUj7ff,"20s0P9QLxGqKuCsGwFsp7w","Let Me Love You","Let Me Love You","Mario",2004-09-21,256733,74,spotify:user:,2024-02-13T21:04:18Z,"dance pop,r&b,southern hip hop,urban contemporary",0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,4
6sHsXIJoEN5JpdkGMQDJxt,"05oH07COxkXKIMt6mIPRee,6nzxy2wXs6tLgzEtqOkEi2","The Boy Is Mine","Never Say Never","Brandy,Monica",1998-05-29,294786,75,spotify:user:,2024-02-13T21:04:18Z,"contemporary r&b,dance pop,hip pop,r&b,urban contemporary",0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,4
1KGi9sZVMeszgZOWivFpxs,"0TImkz4nPqjegtVSMZnMRq","No Scrubs","Fanmail","TLC",1999-02-23,214400,84,spotify:user:,2024-02-13T21:04:18Z,"atl hip hop,contemporary r&b,dance pop,girl group,hip pop,r&b,urban contemporary",0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,4
5Mmk2ii6laakqfeCT7OnVD,"6x9QLdzo6eBZxJ1bHsDkjg","Thong Song","Unleash The Dragon","Sisqo",1999-11-30,253733,71,spotify:user:,2024-02-13T21:04:18Z,"contemporary r&b,dirty south rap,hip pop,r&b,urban contemporary",0.707,0.888,2,-6.959,1,0.0654,0.12,0.0000964,0.07,0.714,121.543,4
7H6ev70Weq6DdpZyyTmUXk,"1Y8cdNmUJH7yBTd9yOvr5i","Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,80,spotify:user:,2024-02-13T21:04:18Z,"dance pop,girl group,pop,r&b,urban contemporary",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
56z2qI0gKcPthQF6l8AW3E,"7gSjFKpVmDgC2MMsnN8CYq","Bust Your Windows","Fearless","Jazmine Sullivan",2008-09-23,266306,62,spotify:user:,2024-02-13T21:04:18Z,"hip pop,neo soul,r&b,urban contemporary",0.683,0.664,5,-4.233,0,0.0332,0.538,0,0.0671,0.866,106.991,4
3hlksXnvbKogFdPbpO9vel,"0hCNtLu0JehylgoiP8L4Gh","Super Bass","Pink Friday (Complete Edition)","Nicki Minaj",2010-11-22,200013,80,spotify:user:,2024-02-13T21:04:18Z,"hip pop,pop,queens hip hop,rap",0.723,0.86,11,-4.357,1,0.203,0.271,0.00000456,0.598,0.667,126.979,4
2gam98EZKrF9XuOkU13ApN,"2jw70GZXlAI8QzWeY2bgRc,5Y5TRrQiqgUO4S36tzjIRZ","Promiscuous","Loose","Nelly Furtado,Timbaland",2006-01-01,242293,84,spotify:user:,2024-02-13T21:04:18Z,"canadian latin,canadian pop,dance pop,pop,pop rap",0.808,0.97,10,-6.098,0,0.0504,0.0573,0.0000617,0.154,0.868,114.328,4
6IwKcFdiRQZOWeYNhUiWIv,"3DiDSECUqqY1AuBP8qtaIa","No One","As I Am (Expanded Edition)","Alicia Keys",2007-11-09,253813,73,spotify:user:,2024-02-13T21:04:18Z,"neo soul,pop,r&b",0.644,0.549,1,-5.415,0,0.0285,0.0209,0.00000885,0.134,0.167,90.04,4
6uQKuonTU8VKBz5SHZuQXD,"0iVrCROxeyon7MZUW3MfzT,2UEm3mXEPGyxeWQJYc8WSx","This Is How We Do It","This Is How We Do It","Montell Jordan,Wino",1995-01-01,238800,67,spotify:user:,2024-02-13T21:04:18Z,"contemporary r&b,hip pop,new jack swing,r&b,urban contemporary",0.799,0.623,0,-9.374,1,0.0812,0.0141,0,0.43,0.773,103.642,4
4yHFxB8kzzeuNvoouR8N0N,"3FD9VAd0ppjmKbfxF4LzUh","Damaged","Welcome to the Dollhouse","Danity Kane",2008-03-17,244266,57,spotify:user:,2024-02-13T21:04:18Z,"dance pop,girl group,hip pop,r&b,urban contemporary",0.774,0.653,8,-5.158,0,0.05,0.0912,0,0.151,0.818,120.01,4
0r2Bul2NuCViraT2zX1l5j,"3ciRvbBIVz9fBoPbtSYq4x,44PA0rCQXikgOWbfY7Fq7m","Get Low","Kings Of Crunk","Lil Jon & The East Side Boyz,Ying Yang Twins",2002-10-29,334066,75,spotify:user:,2024-02-13T21:04:18Z,"atl hip hop,atlanta bass,crunk,dirty south rap,old school atlanta hip hop,southern hip hop",0.521,0.625,1,-7.47,1,0.067,0.0301,0,0.121,0.136,101.019,4
66ZcOcouenzZEnzTJvoFmH,"4yiQZ8tQPux8cPriYMWUFP,0z4gvV4rjIZ9wHck67ucSV","The Sweet Escape","The Sweet Escape","Gwen Stefani,Akon",2006-01-01,246466,74,spotify:user:,2024-02-13T21:04:18Z,"dance pop,pop",0.756,0.769,1,-3.502,1,0.0344,0.191,0,0.178,0.73,119.961,4
1uigwk5hNV84zRd5YQQRTk,"7o95ZoZt5ZYn31e9z1Hc0a","Pocketful of Sunshine","Pocketful Of Sunshine","Natasha Bedingfield",2007-04-27,202906,76,spotify:user:,2024-02-13T21:04:18Z,"dance pop,pop,post-teen pop",0.721,0.88,9,-3.896,0,0.0454,0.191,0,0.0769,0.655,110.021,4
2yPoXCs7BSIUrucMdK5PzV,"5pKCCKE2ajJHZ9KAiaK11H,3nFkdlSjzX9mRTtwJOzDYB","Umbrella","Good Girl Gone Bad","Rihanna,JAY-Z",2007-01-01,275986,72,spotify:user:,2024-02-13T21:04:18Z,"barbadian pop,pop,urban contemporary,east coast hip hop,gangster rap,hip hop,pop rap,rap",0.585,0.828,1,-4.603,1,0.124,0.00906,0,0.0426,0.584,174.034,4
0ZUo4YjG4saFnEJhdWp9Bt,"4xFUf1FHVy696Q1JQZMTRj","Before He Cheats","Some Hearts","Carrie Underwood",2005-11-14,199946,79,spotify:user:,2024-02-13T21:04:18Z,"classic oklahoma country,contemporary country,country,country dawn,dance pop,pop",0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,4
2ZBNclC5wm4GtiWaeh0DMx,"6vWDO969PvNqNYHIOW5v0m","Single Ladies (Put a Ring on It)","I AM...SASHA FIERCE","Beyoncé",2008-11-14,193213,66,spotify:user:,2024-02-13T21:04:18Z,"pop,r&b",0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.188,0.272,193.437,4
5Q0Nhxo0l2bP3pNjpGJwV1,"5YGY8feqx7naU7z4HrwZM6","Party In The U.S.A.","The Time Of Our Lives","Miley Cyrus",2009-01-01,202066,78,spotify:user:,2024-02-13T21:04:18Z,"pop",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
6epn3r7S14KUqlReYr77hA,"1uNFoZAHBGtllmzznpCI3s,3ipn9JLAPI5GUEo4y4jcoi","Baby","My World 2.0","Justin Bieber,Ludacris",2010-01-01,214240,82,spotify:user:,2024-02-13T21:04:18Z,"canadian pop,pop,atl hip hop,dance pop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
4YjjNHtEsTX6Af4mCTupT5,"0a1gHP0HAqALbEyxaD5Ngn","Bless The Broken Road","Feels Like Today","Rascal Flatts",2004-01-01,226680,72,spotify:user:,2024-02-13T21:04:18Z,"contemporary country,country,country road",0.591,0.45,0,-6.369,1,0.0266,0.671,0.0000223,0.159,0.344,135.893,4
1SAkL1mYNJlaqnBQxVZrRl,"3TQ9JTBI2n2hfo7aRONEYV","Baby Got Back","Mack Daddy","Sir Mix-A-Lot",1992-01-01,262826,70,spotify:user:,2024-02-13T21:04:18Z,"old school hip hop",0.926,0.669,1,-11.271,1,0.301,0.0051,0,0.0887,0.642,128.462,4
3xrn9i8zhNZsTtcoWgQEAd,"3BmGtnKgCSGYIUhmivXKWX","Since U Been Gone","Breakaway","Kelly Clarkson",2004-01-17,188960,77,spotify:user:,2024-02-13T21:04:18Z,"dance pop,pop,talent show",0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131,4
