Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7H6ev70Weq6DdpZyyTmUXk,"1Y8cdNmUJH7yBTd9yOvr5i","Say My Name","The Writing's On The Wall","Destiny's Child",1999-07-27,271333,80,spotify:user:,1970-01-01T00:00:00Z,"dance pop,girl group,pop,r&b,urban contemporary",0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,4
1BxfuPKGuaTgP7aM0Bbdwr,"06HL4z0CvFAxyc27GXpf02","Cruel Summer","Lover","Taylor Swift",2019-08-23,178426,94,spotify:user:,1970-01-01T00:00:00Z,"pop",0.552,0.702,9,-5.707,1,0.157,0.117,0.0000206,0.105,0.564,169.994,4
0W4NhJhcqKCqEP2GIpDCDq,"1vfezMIyCr4XUdYRaKIKi3","Love","The Way It Is","Keyshia Cole",2005-01-01,255333,83,spotify:user:,1970-01-01T00:00:00Z,"hip pop,r&b,urban contemporary",0.688,0.518,5,-4.285,1,0.0283,0.0642,0,0.1,0.314,116.714,4
7z3N2W7Xz1t2G2sAO8wFVH,"23zg3TcAtWQy7J6upgbUnj","Burn","Confessions (Expanded Edition)","USHER",2004-03-23,231933,73,spotify:user:,1970-01-01T00:00:00Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",0.796,0.477,1,-7.161,1,0.108,0.314,0,0.12,0.685,119.928,4
6brl7bwOHmGFkNw3MBqssT,"21E3waRsmPlU7jZsS13rcj","So Sick","In My Own Words","Ne-Yo",2006-01-01,207186,79,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop,r&b,urban contemporary",0.452,0.574,6,-8.336,1,0.311,0.245,0,0.189,0.578,92.795,4
4zYTZvtcww7OWKie7fxA9E,"6vytZ677lz4LzCrUDcDokM","Hit 'Em Up Style (Oops!)","So Blu","Blu Cantrell",2001-01-18,250706,70,spotify:user:,1970-01-01T00:00:00Z,"hip pop,urban contemporary",0.667,0.773,5,-4.983,0,0.0586,0.201,0,0.404,0.667,89.976,4
4IFYR5smTnHYCLP82AiDrJ,"0le01dl1WllSHhjEXRl4in","Officially Missing You","More","Tamia",2004,242466,51,spotify:user:,1970-01-01T00:00:00Z,"canadian pop,contemporary r&b,hip pop,r&b,urban contemporary",0.476,0.407,4,-9.239,0,0.0368,0.247,0,0.144,0.226,178.258,4
0KKkJNfGyhkQ5aFogxQAPU,"0du5cEVh5yTK9QJze8zA0C","That's What I Like","24K Magic","Bruno Mars",2016-11-17,206693,86,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
7gd01LMH2gBcoDngSt8sq9,"7bXgB6jMjp9ATFy66eO08Z,1uNFoZAHBGtllmzznpCI3s","Next To You (feat. Justin Bieber)","F.A.M.E. (Expanded Edition)","Chris Brown,Justin Bieber",2011-03-22,265813,70,spotify:user:,1970-01-01T00:00:00Z,"r&b,rap,canadian pop,pop",0.67,0.676,8,-4.725,1,0.037,0.0201,0,0.11,0.349,114.974,4
3UGIZ8qcrMTwzLbx6Kttqt,"1uNFoZAHBGtllmzznpCI3s","Boyfriend","Believe","Justin Bieber",2012-01-01,171333,76,spotify:user:,1970-01-01T00:00:00Z,"canadian pop,pop",0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,4
7gh2v4IHnxdiwSgA6xluhe,"6mQfAAqZGBzIfrmlZCeaYT","Through the Fire","I Feel for You","Chaka Khan",1984,288653,64,spotify:user:,1970-01-01T00:00:00Z,"disco,funk,neo soul,quiet storm,soul",0.563,0.593,8,-7.099,1,0.0322,0.192,0.0000185,0.145,0.428,130.744,4
6cmm1LMvZdB5zsCwX5BjqE,"4pADjHPWyrlAF0FA7joK2H,55Aa2cqylxrFIXC767Z865","Down","All Or Nothing","Jay Sean,Lil Wayne",2009-01-01,212506,78,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop,pop rap,post-teen pop,hip hop,new orleans rap,rap,trap",0.727,0.68,2,-4.498,1,0.0286,0.0101,0,0.0821,0.728,132.012,4
0v1FiNbsrogBpgITmV9qTG,"1Y8cdNmUJH7yBTd9yOvr5i","Emotion","Survivor","Destiny's Child",2001-01-01,236400,49,spotify:user:,1970-01-01T00:00:00Z,"dance pop,girl group,pop,r&b,urban contemporary",0.412,0.577,7,-4.944,1,0.119,0.163,0,0.0969,0.345,173.675,4
1lx8ddGT5wCD6W2xmLeRKG,"6XpaIBNiVzIetEPCWDvAFP","Saving All My Love for You","Whitney Houston","Whitney Houston",1985-02-14,238466,69,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop",0.636,0.264,6,-14.567,0,0.0263,0.593,0.0000422,0.275,0.264,99.304,3
2lgz3yy1AyoceOVOOBmiOS,"6wPhSqRtPu1UhRCDX5yaDJ","Stickwitu","PCD","The Pussycat Dolls",2005-01-01,207506,70,spotify:user:,1970-01-01T00:00:00Z,"dance pop,girl group,pop",0.622,0.554,9,-6.408,1,0.0502,0.283,0,0.0708,0.389,79.965,4
2ENexcMEMsYk0rVJigVD3i,"5pKCCKE2ajJHZ9KAiaK11H","Only Girl (In The World)","Loud (Japan Version)","Rihanna",2010-01-01,235493,84,spotify:user:,1970-01-01T00:00:00Z,"barbadian pop,pop,urban contemporary",0.789,0.706,11,-4.233,0,0.0429,0.112,0.0000171,0.0586,0.638,125.918,4
68vgtRHr7iZHpzGpon6Jlo,"23zg3TcAtWQy7J6upgbUnj,3DiDSECUqqY1AuBP8qtaIa","My Boo","Confessions (Expanded Edition)","USHER,Alicia Keys",2004-03-23,223440,80,spotify:user:,1970-01-01T00:00:00Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary,neo soul",0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,4
5jzKL4BDMClWqRguW5qZvh,"6jJ0s89eD6GaHleKKya26X","Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,75,spotify:user:,1970-01-01T00:00:00Z,"pop",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.012,4
1yjY7rpaAQvKwpdUliHx0d,"74XFHRwlV6OrjEM0A2NCMF","Still into You","Paramore","Paramore",2013-04-05,216013,79,spotify:user:,1970-01-01T00:00:00Z,"candy pop,modern rock,pixie,pop,pop emo,pop punk,rock",0.602,0.923,5,-3.763,1,0.044,0.0098,0,0.0561,0.765,136.01,4
3FAclTFfvUuQYnEsptbK8w,"6Q192DXotxtaysaqNPy5yR","Back To Black","Back To Black (Deluxe Edition)","Amy Winehouse",2006,241293,84,spotify:user:,1970-01-01T00:00:00Z,"british soul,neo soul",0.434,0.422,7,-13.964,0,0.0375,0.134,0.0000205,0.0861,0.377,123.201,4
5x5JM1BSB6vollcIzDocqT,"5YGY8feqx7naU7z4HrwZM6","The Climb","The Time Of Our Lives (International Version)","Miley Cyrus",2009-01-01,234520,73,spotify:user:,1970-01-01T00:00:00Z,"pop",0.336,0.602,4,-6.354,1,0.0325,0.0635,0,0.141,0.299,161.01,4
